,nombre,calle,id_local,disponibilidad,tipo,coordenadas,longitud,latitud,estado,nivel_precio,calificacion,numero_calificaciones,foto,cp,aforo
0,Bar Las Cañas,"C. de María de Guzmán, 57",ChIJ99NXDPooQg0RytN6Xl_VbV4,Desconocido,"['bar', 'point_of_interest', 'establishment']","[40.4440766, -3.6966739]",-3.6966739,40.4440766,CLOSED_TEMPORARILY,1.0,3.8,30,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEB043CdYixtSSsV1YIRT0FSGZDV86g9Vn88UQWnhsg_r9y-LhtzT6E4l_ep9mxy1zFKa_Of5PLbppMlEbZ5bfDq4rwrvz_ubf8DITn15DzNbHGwGT_VQhRACISAWVpEb0OToLRuwQKawbf57zPGI621DaHiYuX8E3RPVawrcfggRxmB&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28003 ,No disponible
1,Bar Hernani 45,"28020, Calle de Hernani, 45",ChIJC_-DMfkoQg0R9mSxdnA0CBY,Abierto,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.4482721, -3.699589599999999]",-3.699589599999999,40.4482721,OPERATIONAL,1.0,3.9,45,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEDhje-UoZOvuI4bquFxlIM8ejWoJk9NJ0Hkr2nOcaQy6T6AgPoqeMR4pA1x8ToaYiANxZHaqqYZS_lSHKp5yObyuJKkx-u673RXv8YWA7y05ScA4hxGYEJQmtc0UkXeKfJk3cLYYxxsuK8jvDy7na87TwhAxJ1PQeLGNBUoS5jyzqiX&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28020 ,No disponible
2,Bar Cuata Time,"Calle de Zurbano, 73",ChIJ6Y6QC_IoQg0RcWmjyxVpcPg,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4376636, -3.6931119]",-3.6931119,40.4376636,OPERATIONAL,,4.0,2,,28010 ,No disponible
3,Taberna Bar,"Calle de García de Paredes, 80",ChIJ7TcpZfIoQg0R-rY0s-6vA48,Abierto,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.4365501, -3.6934144]",-3.6934144,40.4365501,OPERATIONAL,,4.6,8,,28010 ,No disponible
4,Los Torreznos Bar Alonso Cano Cervecería en Madrid,"C. de Alonso Cano, 69",ChIJJQYQAEspQg0R7uSuCtkhQ-4,Abierto,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.44133430000001, -3.6976293]",-3.6976293,40.44133430000001,OPERATIONAL,,4.2,1905,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEB7p-nV61IrKTb8fbFzD80vcnDfU5Fu3gIL1_wnZK7hyp-Uox7spAOmVxPzk1rEnkkSAyCQrajx6grr_TQWpCggaDlXnRJF1yh5u0Rt1Bdv40rdesd5LwsrpqvmtLrJsGcGBbwCEH9QgpaGmPkVt7E-yLcQs0DLHL7JOR977dq8BdWV&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28003 ,No disponible
5,Café Bar King,"Calle de Zurbano, 83",ChIJUWxT4vEoQg0RnVFkj6AjkEw,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4395643, -3.6928463]",-3.6928463,40.4395643,OPERATIONAL,1.0,4.5,67,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEBvA9tBcer3fzekr1Kuo-1PaUP6OtNzHAq95Yp_Ca7w1HPrxtnRt6BtQ4S2oSf99WDIcCBdA7xddvXx3-eHBZ3NOjBiUko50YbdboNL0IRgGBHmBE-BehtkFWGxGYJWrJ8FmmD5cxvs1cdRT_aq1bg1rlZwfluXuWa74zDr_X1tL1IF&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28010 ,No disponible
6,Bar El 34,"C. de Raimundo Fernández Villaverde, 34",ChIJ5S29aeMoQg0RIwRC_B_dXSo,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4460222, -3.6984279]",-3.6984279,40.4460222,OPERATIONAL,,4.2,5,,28046 ,No disponible
7,Las Bridas Bar S A,"Calle de José Abascal, 59",ChIJt7xn-O0oQg0R_yKaszUd9LE,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4383038, -3.6927804]",-3.6927804,40.4383038,OPERATIONAL,2.0,3.8,312,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEAoNefFgml8bG0yPQ-VMgljQ2E2azZZf2MfLWijSK5MxwPafgeA8ZzciFwp0l4ck3KORMOyO04PsCh9BYFOGFrSOMJ0EaNnWhXtdnvtoONJM6YFivha4e1upAqHKhTnpVtKShRzvEqzMjrhHkmMzn6E6Tzn4aCvK3YqY6nt3ZvakAL9&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28003 ,No disponible
8,Bar Cervecería,"Calle de Sta Engracia, 134",ChIJhz5D7PcoQg0Rn7YChNbiyMU,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.44284890000001, -3.7019229]",-3.7019229,40.44284890000001,OPERATIONAL,,2.4,11,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uECiZZcauPZ1i1eL7S7IF_b7xgrEqLDsgQeXMJL5IXuPrVojdEHwLvoo9-6jiIkux3VAZPFg_A4JqHrmBofyVj-OdVIElouJoJI5vKLZ17GGtIDlprECy6S6yvpAQ1zt7L5rVAd06KTSX6LAUef3baaRxcgzj9Hrs5h8YuxnDEFzZ7TR&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28003 ,No disponible
9,Bar Rubí,"Gta. de Cuatro Caminos, 5",ChIJMaQkPlYoQg0RkRyNDdUFWzI,Abierto,"['bar', 'night_club', 'point_of_interest', 'establishment']","[40.4473977, -3.7042338]",-3.7042338,40.4473977,OPERATIONAL,1.0,3.9,252,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEChBctZ8q1GCcJLhaiI1xFT7nhChgs0qG8YubT3Lgu7huyGXO_3DWlyDIEiX-LBUfVNWuqhmr834GF1GaCG_aIvWV8lSs7DTiF7cvIQfB7EY7sVZlwN9fbc8K3GYZ4QnRMM1x9q2HDixatu2Um61Ld9prNynEpYh17Ab6dOLyt2z94t&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28020 ,No disponible
