,nombre,calle,id_local,disponibilidad,tipo,coordenadas,longitud,latitud,estado,nivel_precio,calificacion,numero_calificaciones,foto,cp
0,The Bar,"Calle de Viriato, 17",ChIJlzEjnPUoQg0RP90813_ndT4,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4360073, -3.702099999999999]",-3.702099999999999,40.4360073,OPERATIONAL,1.0,4.3,595,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEAJuuZgCY6mQj3WMSYO14R1G6-LkoCeJp7hWQsw-BulwekmyvXSzWgMT7WlgdrF8kB8u4imUgaE1GvjlzUPl9L8foBkX5C1rLwzuo7Ho4eDbuA4psOZT4DJs4SKwibEuLzNCwZXt2vn_tPM1wH8-8k5os8NVf_B26nYFrper_973rdF&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28010 
1,Cafe Bar La Puebla,"C. de Cristóbal Bordiú, 39",ChIJYf7nUvcoQg0RqBHVNPP3fZc,Desconocido,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.4430651, -3.6978176]",-3.6978176,40.4430651,CLOSED_TEMPORARILY,,5.0,1,,28003 
2,Taberna Bar,"Calle de García de Paredes, 80",ChIJ7TcpZfIoQg0R-rY0s-6vA48,Abierto,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.436561, -3.6934137]",-3.6934137,40.436561,OPERATIONAL,,4.8,6,,28010 
3,1862 Dry Bar,"C. del Pez, 27",ChIJzcBIPmMoQg0RS14oUaREHZo,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4241629, -3.7065294]",-3.7065294,40.4241629,OPERATIONAL,2.0,4.5,1539,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uECL-4RtlpWN5pa4WsGqSsEJFtO0e163ru0yByQLN02iQIE98BhXn25plG5-yY7dPSk0xPojY1mxeQkvKOFENGhidM6It2NjOk0mTF8lqMTnNFcKb_YxsVPwxoU7U28bDYpkgbEZ4OgkMPstWRi9kMbooHNUubQ8Ti2xUiGn7SPs4o_F&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28004 
4,Café Bar King,"Calle de Zurbano, 83",ChIJUWxT4vEoQg0RnVFkj6AjkEw,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4395643, -3.6928463]",-3.6928463,40.4395643,OPERATIONAL,1.0,4.5,65,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEDukN0E2-3wvTOsKNBjqOoDprWbODBM-vTYUoXKVKbXIPxqQpK-jpscCsTNx1xsx8g3OqMOdbjJIGrDndCrKioAHjBkQ-1BWmGcUqmH84psGporGHG3Q2cMU7m9kQWQ8c9Rl06KQKeFCmOXj1C5eflrTrpJtCsuum9Zxw92EC7AHL99&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28010 
5,Bar El 34,"C. de Raimundo Fernández Villaverde, 34",ChIJ5S29aeMoQg0RIwRC_B_dXSo,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4460222, -3.6984279]",-3.6984279,40.4460222,OPERATIONAL,,4.2,5,,28046 
6,Bar la Galería,"C. de Ponzano, 51",ChIJa4Tw4PYoQg0R8mz8DwnS8F0,Abierto,"['night_club', 'bar', 'point_of_interest', 'establishment']","[40.4409472, -3.699293]",-3.699293,40.4409472,OPERATIONAL,,3.7,6,,28003 
7,Las Bridas Bar S A,"Calle de José Abascal, 59",ChIJt7xn-O0oQg0R_yKaszUd9LE,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4383333, -3.6927778]",-3.6927778,40.4383333,OPERATIONAL,2.0,3.8,312,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEDnCo3RMHN75Jgq2YY-hZzEiFagBUyODLG8jOuoVFrsiVH3zla13vJ6xqXeDc0CX_cp5vv5PjVUdAYGO5bc1r7ehXavComYFHrF1bSB-E4g3VUjHs9EdWj4qhH6-Hz87p1m66NOSXpVLoBXDWxfmMNKDsYmoMm12ZiVnLTWSsq2Mt5w&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28003 
8,Los Torreznos Bar Alonso Cano Cervecería en Madrid,"C. de Alonso Cano, 69",ChIJJQYQAEspQg0R7uSuCtkhQ-4,Abierto,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.44133430000001, -3.6976293]",-3.6976293,40.44133430000001,OPERATIONAL,,4.2,1867,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uECMcnoeZFckubhV4TOYRT4TArNfFiaLDNYGPGgKl3qgHoN-NE6sobG39M0MiBgp2HctFymVykDyYJH5MgvOdyuEOMwIHPKnMJENtVkie57NAHdBzSP1xR0TOZJLh3acbV5g_87DXmHE4cff5pgQ3vmUAmXcJ6i_ZeBmXCz1zHT4Rzsu&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28003 
9,Mana Bar,"C. de Orense, 18",ChIJ3-oD9PwoQg0R0w037-amhqE,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4502747, -3.6948461]",-3.6948461,40.4502747,OPERATIONAL,1.0,3.8,251,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEB8VUVMOZ6BdVC2OPa-LDc-7Nn9r7_RE5zOG0657LTJ6PKJ_xEcJrXM7ygyInGHkXwIKYmXHUIeLWPFGLvSc7xaSRV35lYoX_sKMEhPB-rjxunV0oP7qY2XadpPi9dpfEpoUSnMcTWPC4cOFCDOCCO5JHFBth-FLtUCmzLV5AsO2q72&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28020 
10,Bar Cervecería,"Calle de Sta Engracia, 134",ChIJhz5D7PcoQg0Rn7YChNbiyMU,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4428571, -3.7018904]",-3.7018904,40.4428571,OPERATIONAL,,2.4,11,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEBTPGDuGCGbTQNmlfwQMW9O_Xkbj5_ppOiVQFY-ERrQQM2A6i2sY2peL8VzuqEP5UOCmgQ5e_qvkKR5fO-xfegcU1j2pKKWKDCKUHSr6lxSHTFPgut_hzmVEMDQ9GhDypGGrrzx-Cq3y9Q9l38fA-B1j7iziQLNx7Z-8dMDzYo7hMxZ&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28003 
11,The Irish Rover,"Av. de Brasil, 7",ChIJxVk6uQIpQg0R1Q3b5rnMXaw,Abierto,"['meal_takeaway', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']","[40.4547539, -3.693954599999999]",-3.693954599999999,40.4547539,OPERATIONAL,2.0,4.3,8017,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEA1KsMjZWAUlXFP0LETvODWyHwP9xssO8nZTYXxT4O5lvtx7KgzGzX2YSjKqu3pEAg3WtwQ_ZrZAQM5Pn5jIEAimaEFw7OI1YV6uEJxl1RG_1b3hkHnsWqL7M8rItkadh4_8nymfufsd2pE1t4ay2Bk7yrY7bXNhIy0SCLEwb3hzVki&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28020 
12,Bar Py,"C. de los Artistas, 14",ChIJc97tovgoQg0RReUvIOTf6Rk,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4473276, -3.702380999999999]",-3.702380999999999,40.4473276,OPERATIONAL,,4.3,15,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEDhQJh8Ri_EGH2AcYYHAaOU2GjigWV05rB0iEGrZClFqLim5FwVzJ4SwLpK2f9p5_0WNHuFf50kiwFkBm2U1QLDYFsnxaDQXWfIoWvLVsekWksYpwugRl0KSs2lntq16hTSpireow85b46KLQd5KXIerZ1RQvVSya12BrQhRb46DtUl&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28020 
13,Bar Cuata Time,"Calle de Zurbano, 73",ChIJ6Y6QC_IoQg0RcWmjyxVpcPg,Abierto,"['bar', 'point_of_interest', 'establishment']","[40.4376636, -3.6931119]",-3.6931119,40.4376636,OPERATIONAL,,4.0,2,,28010 
14,Bar Rubí,"Gta. de Cuatro Caminos, 5",ChIJMaQkPlYoQg0RkRyNDdUFWzI,Abierto,"['bar', 'night_club', 'point_of_interest', 'establishment']","[40.4473977, -3.7042338]",-3.7042338,40.4473977,OPERATIONAL,1.0,3.9,251,https://maps.googleapis.com/maps/api/place/photo?maxwidth=400&photo_reference=Aap_uEDs08ZklSD8TQ6uYkKu5w9Vge5BaVZSlik_dHlwherfe5IfoyLTKewh9AyjCwz6ZmKwPhrUUB5GczqP1vrUGz7tfF2QS87AGISPkfajyDbLhNLrU6j4Aq-zOKEIHWcR0JpbsY_WXKrEDqKLw10Ao8CE58QGEwuCrwjbEvqH1Rhs049e&key=AIzaSyAMPRgLpuErhhf6Bcg9OuS6V97GPOLqsjg,28020 
